Company, CIK, Filing form type, Year, Quarter, Filing date, Filelink
J2 GLOBAL INC,1084048,8K,2021,Q3,2021-09-01,1084048_8K_2021_0001193125-21-284623.htm
NUANCE COMMUNICATIONS INC,1002517,8K,2021,Q1,2021-02-01,1002517_8K_2021_0001002517-21-000010.htm
DATADOG INC,1561550,8K,2021,Q3,2021-08-01,1561550_8K_2021_0001561550-21-000015.htm
SS&C TECHNOLOGIES HLDGS INC,1402436,10Q,2020,Q4,2020-01-01,1402436_10Q_2021_0001564590-21-040815.htm
PROOFPOINT INC,1212458,8K,2021,Q2,2021-06-01,1212458_8K_2021_0001193125-21-189452.htm
PING IDENTITY HOLDING CORP,1679826,10Q,2020,Q4,2020-01-01,1679826_10Q_2021_0001558370-21-014342.htm
SYNOPSYS INC,883241,8K,2021,Q4,2021-12-01,883241_8K_2021_0001193125-21-359208.htm
DATTO HOLDING CORP,1724570,10Q,2020,Q4,2020-01-01,1724570_10Q_2021_0001724570-21-000027.htm
TWILIO INC,1447669,8K,2021,Q1,2021-02-01,1447669_8K_2021_0001447669-21-000047.htm
SOLARWINDS CORP,1739942,8K,2020,Q4,2020-01-01,1739942_8K_2021_0001739942-21-000005.htm
DIGITAL TURBINE INC,317788,10Q,2020,Q4,2020-01-01,317788_10Q_2021_0001628280-21-016277.htm
SAILPOINT TECHNO HLDG,1627857,10Q,2020,Q4,2020-01-01,1627857_10Q_2021_0001628280-21-009712.htm
ZSCALER INC,1713683,10Q,2020,Q4,2020-01-01,1713683_10Q_2021_0001713683-21-000096.htm
ZIX CORP,855612,8K,2021,Q2,2021-05-01,855612_8K_2021_0001193125-21-151751.htm
AUTODESK INC,769397,8K,2021,Q3,2021-10-01,769397_8K_2021_0001193125-21-294288.htm
ANSYS INC,1013462,10Q,2020,Q4,2020-01-01,1013462_10Q_2021_0001013462-21-000048.htm
RAPID7 INC,1560327,10K,2019,Q4,2019-01-01,1560327_10K_2020_0001560327-21-000043.htm
VERINT SYSTEMS INC,1166388,10Q,2020,Q4,2020-01-01,1166388_10Q_2021_0001166388-21-000115.htm
ENVESTNET INC,1337619,10Q,2020,Q4,2020-01-01,1337619_10Q_2021_0001628280-21-009523.htm
MICROSTRATEGY INC,1050446,10K,2019,Q4,2019-01-01,1050446_10K_2020_0001564590-21-005783.htm
RAPID7 INC,1560327,8K,2021,Q2,2021-07-01,1560327_8K_2021_0001193125-21-218612.htm
Q2 HOLDINGS INC,1410384,10Q,2020,Q4,2020-01-01,1410384_10Q_2021_0001410384-21-000127.htm
SS&C TECHNOLOGIES HLDGS INC,1402436,8K,2021,Q2,2021-07-01,1402436_8K_2021_0001564590-21-037401.htm
WORKDAY INC,1327811,8K,2021,Q1,2021-02-01,1327811_8K_2021_0001327811-21-000015.htm
SLACK TECHNOLOGIES INC,1764925,8K,2021,Q1,2021-03-01,1764925_8K_2021_0001764925-21-000043.htm
MICROSOFT CORP,789019,10Q,2020,Q4,2020-01-01,789019_10Q_2021_0001564590-21-020891.htm
FASTLY INC,1517413,8K,2021,Q1,2021-03-01,1517413_8K_2021_0001193125-21-071602.htm
VEEVA SYSTEMS INC,1393052,10Q,2020,Q4,2020-01-01,1393052_10Q_2021_0001393052-21-000028.htm
RIOT BLOCKCHAIN INC,1167419,8K,2021,Q1,2021-02-01,1167419_8K_2021_0001079973-21-000074.htm
TERADATA CORP,816761,8K,2021,Q2,2021-05-01,816761_8K_2021_0000816761-21-000017.htm
CORNERSTONE ONDEMAND INC,1401680,8K,2021,Q2,2021-05-01,1401680_8K_2021_0001401680-21-000020.htm
PALO ALTO NETWORKS INC,1327567,8K,2021,Q3,2021-09-01,1327567_8K_2021_0001193125-21-270979.htm
RAPID7 INC,1560327,10Q,2020,Q4,2020-01-01,1560327_10Q_2021_0001560327-21-000169.htm
QAD INC,1036188,8K,2021,Q2,2021-05-01,1036188_8K_2021_0001437749-21-013419.htm
INTRUSION INC,736012,8K,2021,Q4,2021-11-01,736012_8K_2021_0001683168-21-005772.htm
INTUIT INC,896878,10Q,2020,Q4,2020-01-01,896878_10Q_2021_0000896878-21-000260.htm
PTC INC,857005,8K,2020,Q4,2020-01-01,857005_8K_2021_0001564590-21-001398.htm
8X8 INC,1023731,8K,2021,Q4,2021-11-01,1023731_8K_2021_0001023731-21-000240.htm
AMERICAN SOFTWARE  -CL A,713425,10Q,2020,Q4,2020-01-01,713425_10Q_2021_0001628280-21-018082.htm
TERADATA CORP,816761,10K,2020,Q4,2020-01-01,816761_10K_2020_0000816761-21-000009.htm
DATTO HOLDING CORP,1724570,8K,2021,Q2,2021-05-01,1724570_8K_2021_0001724570-21-000032.htm
BSQUARE CORP,1054721,8K,2021,Q1,2021-03-01,1054721_8K_2021_0001437749-21-006478.htm
SYNCHRONOSS TECHNOLOGIES,1131554,8K,2021,Q3,2021-10-01,1131554_8K_2021_0001104659-21-129786.htm
BENEFITFOCUS INC,1576169,10Q,2020,Q4,2020-01-01,1576169_10Q_2021_0001564590-21-024356.htm
MODEL N INC,1118417,10Q,2020,Q4,2020-01-01,1118417_10Q_2021_0001118417-21-000100.htm
BLACKLINE INC,1666134,8K,2021,Q3,2021-08-01,1666134_8K_2021_0001171843-21-005575.htm
SONIC FOUNDRY INC,1029744,8K,2021,Q1,2021-02-01,1029744_8K_2020_0001437749-21-002631.htm
SAILPOINT TECHNO HLDG,1627857,8K,2021,Q2,2021-05-01,1627857_8K_2021_0001628280-21-009704.htm
DUCK CREEK TECHNOL INC,1160951,8K,2020,Q4,2020-01-01,1160951_8K_2021_0001341004-21-000010.htm
BRIDGELINE DIGITAL INC,1378590,8K,2021,Q3,2021-08-01,1378590_8K_2021_0001437749-21-020329.htm
FIREEYE INC,1370880,8K,2021,Q1,2021-04-01,1370880_8K_2021_0001370880-21-000014.htm
ANSYS INC,1013462,8K,2021,Q1,2021-03-01,1013462_8K_2021_0001193125-21-081521.htm
PLURALSIGHT INC,1725579,10K,2019,Q4,2019-01-01,1725579_10K_2020_0001725579-21-000010.htm
PEGASYSTEMS INC,1013857,10Q,2020,Q4,2020-01-01,1013857_10Q_2021_0001013857-21-000175.htm
FASTLY INC,1517413,8K,2021,Q2,2021-07-01,1517413_8K_2021_0001517413-21-000128.htm
FIVE9 INC,1288847,8K,2020,Q4,2020-01-01,1288847_8K_2021_0001288847-21-000003.htm
VIRNETX HOLDING CORP,1082324,10Q,2020,Q4,2020-01-01,1082324_10Q_2021_0001140361-21-016630.htm
BRIDGELINE DIGITAL INC,1378590,8K,2021,Q3,2021-08-01,1378590_8K_2021_0001437749-21-020477.htm
SPROUT SOCIAL INC,1517375,8K,2021,Q1,2021-02-01,1517375_8K_2021_0001517375-21-000006.htm
CERIDIAN HCM HOLDING,1725057,8K,2021,Q3,2021-09-01,1725057_8K_2021_0001564590-21-048512.htm
GUIDEWIRE SOFTWARE INC,1528396,10Q,2020,Q4,2020-01-01,1528396_10Q_2021_0001528396-21-000118.htm
FIREEYE INC,1370880,8K,2021,Q1,2021-04-01,1370880_8K_2021_0001370880-21-000016.htm
Q2 HOLDINGS INC,1410384,8K,2021,Q2,2021-05-01,1410384_8K_2021_0001410384-21-000068.htm
VERITONE INC,1615165,10Q,2020,Q4,2020-01-01,1615165_10Q_2021_0001564590-21-024339.htm
2U INC,1459417,8K,2021,Q1,2021-02-01,1459417_8K_2021_0001104659-21-020662.htm
BIO-KEY INTERNATIONAL INC,1019034,8K,2021,Q3,2021-08-01,1019034_8K_2021_0001437749-21-020265.htm
ORACLE CORP,1341439,8K,2021,Q2,2021-07-01,1341439_8K_2021_0001193125-21-209906.htm
NCINO INC,1566895,8K,2021,Q4,2021-12-01,1566895_8K_2021_0001566895-21-000042.htm
BSQUARE CORP,1054721,10Q,2020,Q4,2020-01-01,1054721_10Q_2021_0001437749-21-019722.htm
VERINT SYSTEMS INC,1166388,8K,2021,Q3,2021-09-01,1166388_8K_2021_0001166388-21-000113.htm
ADOBE INC,796343,8K,2021,Q3,2021-09-01,796343_8K_2021_0000796343-21-000198.htm
TWILIO INC,1447669,10Q,2020,Q4,2020-01-01,1447669_10Q_2021_0001447669-21-000126.htm
EVOLVING SYSTEMS INC,1052054,10Q,2020,Q4,2020-01-01,1052054_10Q_2021_0001562762-21-000340.htm
MAX SOUND CORP,1353499,10Q,2020,Q4,2020-01-01,1353499_10Q_2021_0001477932-21-008688.htm
BOTTOMLINE TECHNOLOGIES INC,1073349,8K,2021,Q4,2021-11-01,1073349_8K_2021_0001073349-21-000130.htm
J2 GLOBAL INC,1084048,8K,2021,Q1,2021-02-01,1084048_8K_2021_0001084048-21-000004.htm
IDEANOMICS INC,837852,8K,2021,Q3,2021-08-01,837852_8K_2021_0001104659-21-105243.htm
IDEANOMICS INC,837852,8K,2021,Q3,2021-08-01,837852_8K_2021_0001104659-21-100065.htm
INTELLIGENT SYSTEM CORP,320340,8K,2021,Q1,2021-02-01,320340_8K_2021_0001171843-21-000948.htm
FASTLY INC,1517413,8K,2021,Q4,2021-11-01,1517413_8K_2021_0001517413-21-000184.htm
ZENDESK INC,1463172,8K,2021,Q1,2021-04-01,1463172_8K_2021_0001463172-21-000158.htm
BOX INC,1372612,8K,2021,Q3,2021-09-01,1372612_8K_2021_0001387131-21-009357.htm
PARETEUM CORP,1084384,8K,2021,Q2,2021-05-01,1084384_8K_2021_0001628280-21-011048.htm
Q2 HOLDINGS INC,1410384,8K,2021,Q3,2021-08-01,1410384_8K_2021_0001410384-21-000103.htm
SHARPSPRING INC,1506439,8K,2021,Q2,2021-06-01,1506439_8K_2021_0001654954-21-007139.htm
J2 GLOBAL INC,1084048,8K,2021,Q4,2021-12-01,1084048_8K_2021_0001084048-21-000074.htm
NORTONLIFELOCK INC,849399,10K,2019,Q4,2019-01-01,849399_10K_2021_0000849399-21-000010.htm
SS&C TECHNOLOGIES HLDGS INC,1402436,8K,2021,Q1,2021-04-01,1402436_8K_2021_0001564590-21-020529.htm
JFROG LTD,1800667,10K,2020,Q4,2020-01-01,1800667_10K_2020_0001193125-21-041470.htm
BOXLIGHT CORP,1624512,8K,2021,Q4,2021-11-01,1624512_8K_2021_0001493152-21-027847.htm
IDEANOMICS INC,837852,8K,2021,Q1,2021-03-01,837852_8K_2021_0001104659-21-031843.htm
INTELLINETICS INC,1081745,8K,2021,Q3,2021-09-01,1081745_8K_2021_0001493152-21-022505.htm
SPROUT SOCIAL INC,1517375,10Q,2020,Q4,2020-01-01,1517375_10Q_2021_0001517375-21-000041.htm
TWILIO INC,1447669,8K,2021,Q2,2021-06-01,1447669_8K_2021_0001447669-21-000151.htm
ACI WORLDWIDE INC,935036,8K,2021,Q1,2021-03-01,935036_8K_2021_0000935036-21-000016.htm
IMAGEWARE SYSTEMS INC,941685,10K,2020,Q4,2020-01-01,941685_10K_2020_0001654954-21-003840.htm
EVERBRIDGE INC,1437352,8K,2021,Q3,2021-08-01,1437352_8K_2021_0001564590-21-042659.htm
SYNOPSYS INC,883241,10K,2020,Q4,2020-01-01,883241_10K_2021_0000883241-21-000022.htm
XPERI HOLDING CORP,1803696,10K,2019,Q4,2019-01-01,1803696_10K_2020_0001564590-21-009444.htm
SOLARWINDS CORP,1739942,8K,2021,Q2,2021-07-01,1739942_8K_2021_0001628280-21-014064.htm
ALTERYX INC,1689923,10Q,2020,Q4,2020-01-01,1689923_10Q_2021_0001689923-21-000097.htm
DATADOG INC,1561550,8K,2021,Q2,2021-05-01,1561550_8K_2021_0001561550-21-000004.htm
JACK IN THE BOX INC,807882,8K,2021,Q3,2021-08-01,807882_8K_2021_0001157523-21-000997.htm
PAYCOM SOFTWARE INC,1590955,8K,2021,Q2,2021-05-01,1590955_8K_2021_0001564590-21-023324.htm
APPFOLIO INC,1433195,8K,2021,Q4,2021-11-01,1433195_8K_2021_0001433195-21-000105.htm
INTELLINETICS INC,1081745,10Q,2020,Q4,2020-01-01,1081745_10Q_2021_0001493152-21-028508.htm
MITEK SYSTEMS INC,807863,8K,2021,Q2,2021-06-01,807863_8K_2021_0000807863-21-000074.htm
PLURALSIGHT INC,1725579,8K,2021,Q1,2021-02-01,1725579_8K_2021_0001725579-21-000002.htm
IDEANOMICS INC,837852,8K,2021,Q2,2021-06-01,837852_8K_2021_0001104659-21-080267.htm
AVALARA INC,1348036,8K,2021,Q3,2021-08-01,1348036_8K_2021_0001193125-21-246191.htm
Q2 HOLDINGS INC,1410384,10K,2020,Q4,2020-01-01,1410384_10K_2020_0001410384-21-000022.htm
TYLER TECHNOLOGIES INC,860731,10Q,2020,Q4,2020-01-01,860731_10Q_2021_0000860731-21-000039.htm
SYNOPSYS INC,883241,8K,2021,Q1,2021-02-01,883241_8K_2021_0001193125-21-046554.htm
PARK CITY GROUP INC,50471,10K,2020,Q4,2020-01-01,50471_10K_2021_0001654954-21-010502.htm
AMERICAN SOFTWARE  -CL A,713425,10K,2020,Q4,2020-01-01,713425_10K_2021_0001628280-21-013701.htm
VERINT SYSTEMS INC,1166388,8K,2021,Q1,2021-04-01,1166388_8K_2021_0001193125-21-111564.htm
PROOFPOINT INC,1212458,8K,2021,Q2,2021-06-01,1212458_8K_2021_0001193125-21-187357.htm
CERIDIAN HCM HOLDING,1725057,8K,2021,Q1,2021-02-01,1725057_8K_2021_0001564590-21-005002.htm
MITEK SYSTEMS INC,807863,8K,2021,Q2,2021-06-01,807863_8K_2021_0000807863-21-000072.htm
IDEANOMICS INC,837852,8K,2021,Q1,2021-04-01,837852_8K_2021_0001104659-21-054894.htm
SECUREWORKS CORP,1468666,8K,2021,Q2,2021-06-01,1468666_8K_2021_0001468666-21-000025.htm
NORTONLIFELOCK INC,849399,10Q,2020,Q4,2020-01-01,849399_10Q_2021_0000849399-21-000005.htm
BIGCOMMERCE HOLDIN INC,1626450,8K,2021,Q3,2021-08-01,1626450_8K_2021_0001193125-21-237706.htm
GSE SYSTEMS INC,944480,8K,2021,Q3,2021-09-01,944480_8K_2021_0000944480-21-000032.htm
ZOOMINFO TECHNOLOGIES,1794515,8K,2021,Q4,2021-11-01,1794515_8K_2021_0001794515-21-000315.htm
SNOWFLAKE INC,1640147,10Q,2020,Q4,2020-01-01,1640147_10Q_2021_0001640147-21-000212.htm
SALESFORCE.COM INC,1108524,8K,2021,Q2,2021-05-01,1108524_8K_2021_0001108524-21-000024.htm
IDEANOMICS INC,837852,8K,2020,Q4,2020-01-01,837852_8K_2021_0001104659-21-006712.htm
OKTA INC,1660134,8K,2021,Q2,2021-05-01,1660134_8K_2021_0001660134-21-000011.htm
2U INC,1459417,10Q,2020,Q4,2020-01-01,1459417_10Q_2021_0001459417-21-000014.htm
VEEVA SYSTEMS INC,1393052,10K,2019,Q4,2019-01-01,1393052_10K_2021_0001393052-21-000015.htm
PALANTIR TECHNOLOG INC,1321655,8K,2020,Q4,2020-01-01,1321655_8K_2021_0001193125-21-013558.htm
SLACK TECHNOLOGIES INC,1764925,8K,2021,Q2,2021-06-01,1764925_8K_2021_0001764925-21-000094.htm
PAYLOCITY HOLDING CORP,1591698,10Q,2019,Q4,2019-01-01,1591698_10Q_2020_0001558370-21-000761.htm
SALESFORCE.COM INC,1108524,8K,2021,Q3,2021-09-01,1108524_8K_2021_0001193125-21-280853.htm
DUCK CREEK TECHNOL INC,1160951,8K,2021,Q3,2021-10-01,1160951_8K_2021_0001193125-21-298780.htm
ONESPAN INC,1044777,8K,2021,Q2,2021-05-01,1044777_8K_2021_0001558370-21-005688.htm
IMAGEWARE SYSTEMS INC,941685,8K,2021,Q2,2021-05-01,941685_8K_2021_0001654954-21-006109.htm
JACK IN THE BOX INC,807882,8K,2021,Q2,2021-07-01,807882_8K_2021_0001157523-21-000855.htm
ACI WORLDWIDE INC,935036,8K,2021,Q2,2021-05-01,935036_8K_2021_0000935036-21-000030.htm
APPIAN CORP,1441683,10Q,2020,Q4,2020-01-01,1441683_10Q_2021_0001441683-21-000085.htm
BOXLIGHT CORP,1624512,10Q,2020,Q4,2020-01-01,1624512_10Q_2021_0001493152-21-019511.htm
SEACHANGE INTERNATIONAL INC,1019671,8K,2021,Q1,2021-02-01,1019671_8K_2021_0001193125-21-037411.htm
EBIX INC,814549,8K,2021,Q1,2021-02-01,814549_8K_2021_0001193125-21-049997.htm
PTC INC,857005,8K,2020,Q4,2020-01-01,857005_8K_2021_0001564590-21-001627.htm
2U INC,1459417,8K,2021,Q4,2021-11-01,1459417_8K_2021_0001193125-21-327452.htm
BENTLEY SYSTEMS INC,1031308,8K,2021,Q1,2021-02-01,1031308_8K_2021_0001104659-21-029251.htm
MICROSTRATEGY INC,1050446,8K,2020,Q4,2020-01-01,1050446_8K_2021_0001193125-21-020760.htm
TRADE DESK INC,1671933,8K,2021,Q3,2021-08-01,1671933_8K_2021_0001157523-21-001026.htm
ZUORA INC,1423774,10Q,2020,Q4,2020-01-01,1423774_10Q_2021_0001423774-21-000099.htm
PARK CITY GROUP INC,50471,8K,2021,Q2,2021-05-01,50471_8K_2021_0001654954-21-006032.htm
FORTINET INC,1262039,8K,2021,Q1,2021-03-01,1262039_8K_2021_0001193125-21-071498.htm
CLICKSTREAM CORP,1393548,8K,2021,Q4,2021-11-01,1393548_8K_2021_0001575705-21-000806.htm
ONESPAN INC,1044777,8K,2021,Q1,2021-04-01,1044777_8K_2021_0001558370-21-004682.htm
ALARM.COM HOLDINGS INC,1459200,8K,2021,Q2,2021-06-01,1459200_8K_2021_0001459200-21-000023.htm
SMARTSHEET INC,1366561,10Q,2020,Q4,2020-01-01,1366561_10Q_2021_0001366561-21-000069.htm
VERINT SYSTEMS INC,1166388,8K,2020,Q4,2020-01-01,1166388_8K_2021_0001166388-21-000010.htm
JAMF HOLDING CORP,1721947,10Q,2020,Q4,2020-01-01,1721947_10Q_2021_0001628280-21-017415.htm
ECOARK HOLDINGS INC,1437491,8K,2021,Q3,2021-10-01,1437491_8K_2021_0001213900-21-052407.htm
SYNCHRONOSS TECHNOLOGIES,1131554,8K,2021,Q1,2021-03-01,1131554_8K_2021_0001131554-21-000007.htm
OKTA INC,1660134,8K,2021,Q1,2021-03-01,1660134_8K_2021_0001660134-21-000004.htm
OBLONG INC,746210,8K,2021,Q2,2021-05-01,746210_8K_2021_0000746210-21-000035.htm
RAPID7 INC,1560327,8K,2021,Q1,2021-02-01,1560327_8K_2021_0001560327-21-000022.htm
AUTOMATIC DATA PROCESSING,8670,8K,2021,Q2,2021-06-01,8670_8K_2021_0000950103-21-008624.htm
PAYCOM SOFTWARE INC,1590955,10Q,2020,Q4,2020-01-01,1590955_10Q_2021_0001564590-21-041585.htm
JACK IN THE BOX INC,807882,8K,2021,Q1,2021-03-01,807882_8K_2021_0001157523-21-000297.htm
CHANNELADVISOR CORP,1169652,8K,2021,Q3,2021-08-01,1169652_8K_2021_0001169652-21-000077.htm
BENTLEY SYSTEMS INC,1031308,8K,2021,Q4,2021-11-01,1031308_8K_2021_0001628280-21-023969.htm
ADOBE INC,796343,8K,2021,Q2,2021-06-01,796343_8K_2021_0000796343-21-000146.htm
VERB TECHNOLOGY CO INC,1566610,8K,2021,Q3,2021-08-01,1566610_8K_2021_0001493152-21-020515.htm
ZOOMINFO TECHNOLOGIES,1794515,10K,2020,Q4,2020-01-01,1794515_10K_2020_0001794515-21-000061.htm
INTELLIGENT SYSTEM CORP,320340,8K,2021,Q3,2021-08-01,320340_8K_2021_0001171843-21-005531.htm
SEACHANGE INTERNATIONAL INC,1019671,8K,2021,Q1,2021-03-01,1019671_8K_2021_0001193125-21-094498.htm
GTY TECHNOLOGY HOLDINGS,1682325,8K,2021,Q1,2021-04-01,1682325_8K_2021_0001104659-21-050759.htm
PTC INC,857005,8K,2021,Q2,2021-05-01,857005_8K_2021_0001564590-21-027521.htm
BENEFITFOCUS INC,1576169,10Q,2020,Q4,2020-01-01,1576169_10Q_2021_0001564590-21-054582.htm
VEEVA SYSTEMS INC,1393052,8K,2021,Q1,2021-02-01,1393052_8K_2021_0001628280-21-001246.htm
ORACLE CORP,1341439,8K,2021,Q4,2021-12-01,1341439_8K_2021_0001193125-21-363742.htm
ORACLE CORP,1341439,8K,2021,Q4,2021-12-01,1341439_8K_2021_0001193125-21-362532.htm
AUTODESK INC,769397,10Q,2020,Q4,2020-01-01,769397_10Q_2021_0000769397-21-000034.htm
IMAGEWARE SYSTEMS INC,941685,8K,2021,Q1,2021-04-01,941685_8K_2021_0001654954-21-004640.htm
FORTINET INC,1262039,10Q,2020,Q4,2020-01-01,1262039_10Q_2021_0001262039-21-000030.htm
PAYCOM SOFTWARE INC,1590955,8K,2021,Q2,2021-05-01,1590955_8K_2021_0001193125-21-160582.htm
SPS COMMERCE INC,1092699,8K,2021,Q2,2021-07-01,1092699_8K_2021_0001171843-21-005290.htm
SAILPOINT TECHNO HLDG,1627857,10Q,2020,Q4,2020-01-01,1627857_10Q_2021_0001627857-21-000048.htm
SYNACOR INC,1408278,8K,2021,Q1,2021-02-01,1408278_8K_2021_0001193125-21-037346.htm
SAILPOINT TECHNO HLDG,1627857,10Q,2020,Q4,2020-01-01,1627857_10Q_2021_0001627857-21-000102.htm
ADOBE INC,796343,10Q,2020,Q4,2020-01-01,796343_10Q_2021_0000796343-21-000210.htm
BENTLEY SYSTEMS INC,1031308,8K,2021,Q2,2021-05-01,1031308_8K_2021_0001628280-21-009759.htm
TENABLE HOLDINGS INC,1660280,8K,2021,Q2,2021-07-01,1660280_8K_2021_0001660280-21-000119.htm
ZENDESK INC,1463172,8K,2021,Q3,2021-10-01,1463172_8K_2021_0001193125-21-311547.htm
NCINO INC,1566895,10Q,2020,Q4,2020-01-01,1566895_10Q_2021_0001566895-21-000032.htm
BENEFITFOCUS INC,1576169,10Q,2020,Q4,2020-01-01,1576169_10Q_2021_0001564590-21-041019.htm
MIX TELEMATICS LTD,1576914,8K,2021,Q3,2021-08-01,1576914_8K_2021_0001628280-21-015674.htm
WORKDAY INC,1327811,8K,2020,Q4,2020-01-01,1327811_8K_2021_0001193125-21-020093.htm
TENABLE HOLDINGS INC,1660280,8K,2021,Q4,2021-12-01,1660280_8K_2021_0001660280-21-000178.htm
TWILIO INC,1447669,8K,2021,Q2,2021-07-01,1447669_8K_2021_0001447669-21-000183.htm
EGAIN CORP,1066194,8K,2021,Q4,2021-12-01,1066194_8K_2021_0001558370-21-016678.htm
INTELLIGENT SYSTEM CORP,320340,8K,2021,Q4,2021-11-01,320340_8K_2021_0001171843-21-007501.htm
CERIDIAN HCM HOLDING,1725057,8K,2021,Q1,2021-03-01,1725057_8K_2021_0001193125-21-066649.htm
GIVEMEPOWER CORP,1064722,10Q,2020,Q4,2020-01-01,1064722_10Q_2021_0001493152-21-021218.htm
SUMO LOGIC INC,1643269,8K,2021,Q2,2021-06-01,1643269_8K_2021_0001643269-21-000012.htm
BENTLEY SYSTEMS INC,1031308,8K,2021,Q2,2021-06-01,1031308_8K_2021_0001628280-21-011496.htm
VIRNETX HOLDING CORP,1082324,10K,2019,Q4,2019-01-01,1082324_10K_2020_0001140361-21-008678.htm
INUVO INC,829323,8K,2020,Q4,2020-01-01,829323_8K_2021_0001654954-21-000592.htm
ZOOM TELEPHONICS INC,1467761,8K,2021,Q4,2021-11-01,1467761_8K_2021_0001493152-21-026916.htm
ALTAIR ENGINEERING INC,1701732,8K,2021,Q3,2021-08-01,1701732_8K_2021_0001564590-21-041651.htm
BENTLEY SYSTEMS INC,1031308,8K,2021,Q1,2021-03-01,1031308_8K_2021_0001628280-21-003695.htm
AMERICAN SOFTWARE  -CL A,713425,8K,2020,Q4,2020-01-01,713425_8K_2021_0001628280-21-000684.htm
TYLER TECHNOLOGIES INC,860731,8K,2021,Q1,2021-03-01,860731_8K_2021_0000860731-21-000018.htm
BOX INC,1372612,8K,2020,Q4,2020-01-01,1372612_8K_2021_0001193125-21-009363.htm
MIX TELEMATICS LTD,1576914,8K,2021,Q3,2021-10-01,1576914_8K_2021_0001628280-21-020039.htm
VERINT SYSTEMS INC,1166388,10Q,2020,Q4,2020-01-01,1166388_10Q_2021_0001166388-21-000089.htm
PING IDENTITY HOLDING CORP,1679826,8K,2021,Q4,2021-11-01,1679826_8K_2021_0001104659-21-145038.htm
COMMVAULT SYSTEMS INC,1169561,10Q,2020,Q4,2020-01-01,1169561_10Q_2021_0001169561-21-000041.htm
AUTODESK INC,769397,10K,2020,Q4,2020-01-01,769397_10K_2021_0000769397-21-000014.htm
AMERICAN SOFTWARE  -CL A,713425,8K,2021,Q1,2021-02-01,713425_8K_2021_0001157523-21-000249.htm
TENABLE HOLDINGS INC,1660280,8K,2021,Q1,2021-02-01,1660280_8K_2021_0001660280-21-000016.htm
SHARPSPRING INC,1506439,8K,2021,Q1,2021-04-01,1506439_8K_2021_0001654954-21-004463.htm
PAYLOCITY HOLDING CORP,1591698,10K,2020,Q4,2020-01-01,1591698_10K_2021_0001558370-21-010711.htm
WORKDAY INC,1327811,8K,2021,Q1,2021-02-01,1327811_8K_2021_0001193125-21-054693.htm
FORTINET INC,1262039,10Q,2020,Q4,2020-01-01,1262039_10Q_2021_0001262039-21-000014.htm
PAYCHEX INC,723531,8K,2021,Q3,2021-10-01,723531_8K_2021_0000723531-21-000053.htm
SONIC FOUNDRY INC,1029744,8K,2021,Q1,2021-03-01,1029744_8K_2021_0001437749-21-004514.htm
AUTODESK INC,769397,8K,2021,Q2,2021-05-01,769397_8K_2021_0000769397-21-000031.htm
PAYCOM SOFTWARE INC,1590955,8K,2021,Q1,2021-02-01,1590955_8K_2021_0001193125-21-046521.htm
PROS HOLDINGS INC,1392972,8K,2021,Q1,2021-02-01,1392972_8K_2021_0001392972-21-000034.htm
PARETEUM CORP,1084384,8K,2021,Q2,2021-05-01,1084384_8K_2021_0001628280-21-010513.htm
CHANNELADVISOR CORP,1169652,10Q,2020,Q4,2020-01-01,1169652_10Q_2021_0001169652-21-000065.htm
COUPA SOFTWARE INC,1385867,10Q,2020,Q4,2020-01-01,1385867_10Q_2021_0001385867-21-000025.htm
SLACK TECHNOLOGIES INC,1764925,8K,2021,Q1,2021-02-01,1764925_8K_2021_0001193125-21-037224.htm
VERITONE INC,1615165,8K,2021,Q2,2021-05-01,1615165_8K_2021_0001564590-21-023339.htm
J2 GLOBAL INC,1084048,8K,2021,Q4,2021-11-01,1084048_8K_2021_0001084048-21-000066.htm
PALO ALTO NETWORKS INC,1327567,10Q,2020,Q4,2020-01-01,1327567_10Q_2021_0001327567-21-000040.htm
WORKIVA INC,1445305,8K,2021,Q2,2021-05-01,1445305_8K_2021_0001445305-21-000073.htm
DUCK CREEK TECHNOL INC,1160951,8K,2021,Q2,2021-07-01,1160951_8K_2021_0001193125-21-210810.htm
ANAPLAN INC,1540755,10Q,2020,Q4,2020-01-01,1540755_10Q_2021_0001540755-21-000006.htm
CROWDSTRIKE HOLDINGS INC,1535527,8K,2021,Q2,2021-06-01,1535527_8K_2021_0001535527-21-000011.htm
PROGRESS SOFTWARE CORP,876167,10Q,2020,Q4,2020-01-01,876167_10Q_2021_0000876167-21-000073.htm
ENVESTNET INC,1337619,8K,2021,Q3,2021-10-01,1337619_8K_2021_0001193125-21-313393.htm
PROS HOLDINGS INC,1392972,10Q,2020,Q4,2020-01-01,1392972_10Q_2021_0001392972-21-000099.htm
CYREN LTD,1084577,8K,2021,Q4,2021-11-01,1084577_8K_2021_0001213900-21-059628.htm
MITEK SYSTEMS INC,807863,8K,2020,Q4,2020-01-01,807863_8K_2021_0000807863-21-000009.htm
PAYLOCITY HOLDING CORP,1591698,10Q,2020,Q4,2020-01-01,1591698_10Q_2021_0001558370-21-006389.htm
COUPA SOFTWARE INC,1385867,10Q,2020,Q4,2020-01-01,1385867_10Q_2021_0001385867-21-000031.htm
VERINT SYSTEMS INC,1166388,10Q,2020,Q4,2020-01-01,1166388_10Q_2021_0001166388-21-000138.htm
